PERGUNTAS,RESPOSTAS
ESPECIALIZAÇÃO EM Gestão e Qualidade Ambiental,"O curso destina-se a profissionais que desejam atuar na gestão e qualidade ambiental, com foco em diagnóstico e solução de problemas ambientais. O curso de Especialização em Gestão e Qualidade Ambiental, tem como objetivo oferecer aulas teóricas, visitas técnicas e práticas, abordando monitoramento, conservação de ecossistemas e uso de tecnologias sustentáveis para proteção ambiental, culminando na publicação de artigo científico para profissionais que desejam atuar na gestão e qualidade ambiental, com foco em diagnóstico e solução de problemas ambientais. Objetivos Específicos: a) Desenvolver nos participantes competências e habilidades, a fim de que possam elaborar instrumentos para identificar a gênese e a evolução dos problemas ambientais e posterior solução; b) Capacitar os profissionais para monitorar e tratar os dados ambientais; c) Prestar suporte técnico especializado à atividade dos gestores ambientais; d) Gerir medidas de proteção e controle da qualidade ambiental; e) Ordenar o desenvolvimento de recursos naturais, conservar e manejar ecossistemas e espécies nele inseridas; f) Difundir tecnologias, informações e modelos de conservação ambiental do centro oeste do Brasil. Carga horária: 340 horas. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 03/08/2024. Taxa de matrícula de R$ 100,00; Valor da mensalidade: R$ 390,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/curso-de-especializacao-em-gestao-e-qualidade-ambiental/"
ESPECIALIZAÇÃO EM​ Gestão Pública,"Aperfeiçoe suas competências em gestão pública com o curso EAD da Unidade Acadêmica Especial de Ciências Sociais Aplicadas da Universidade Federal de Goiás. Capacite-se para diagnosticar problemas, negociar com atores sociais e aplicar modelos estratégicos, promovendo mudanças efetivas e éticas no setor público. Finalidade: a) Desenvolver habilidades e capacidades de gestão pública; b) Capacitar gestores e analistas de políticas governamentais; c) Promover articulação e negociação com atores sociais e políticos; d) Diagnosticar e solucionar problemas nas organizações públicas; e) Aplicar planejamento estratégico e gestão em ambientes públicos; f) Incorporar dimensões éticas na gestão pública. Público-Alvo e Vagas: – Destinado a graduados em Administração ou áreas afins; – Total de 150 vagas distribuídas em 7 polos no estado de Goiás; – Reserva de vagas para ações afirmativas conforme política da UFG. Carga Horária e Estrutura Acadêmica: – Total de 390 horas, com prazo máximo de 2 anos para conclusão. – Avaliação com frequência mínima de 75% e aproveitamento de 70%. – Certificação exige aprovação em trabalho final ou monografia. Formato e Organização: – Modalidade: Ensino a distância. – Corpo docente majoritariamente composto por professores da UFG. – Coordenação formada por um coordenador e subcoordenador com titulação mínima de mestre. Certificação: – Certificado de especialização para quem cumprir todos os requisitos. – Certificado de aperfeiçoamento para alunos que concluírem disciplinas sem apresentar o trabalho final. Diferenciais: – Flexibilização curricular voltada à administração pública. – Enfoque na realidade regional e nacional. – Desenvolvimento de análise crítica e abordagem ética. Início das aulas 14/04/2025. Reconhecido pelo MEC. Modalidade 100% a distância. Esse curso é gratuito. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/gestao-publica/"
ESPECIALIZAÇÃO EM Letramento Informacional: Educação para Informação,"O curso destina-se a professores, bibliotecários, profissionais da comunicação e demais graduados interessados no assunto. O curso de Especialização em Letramento Informacional: Educação para a Informação (CELI), promove a educação voltada para a informação, observados os aspectos técnicos, éticos, estéticos, legais e pedagógicos envolvidos na prática informacional. Essa prática envolve a busca, organização, o uso e compartilhamento da informação, independente do suporte em que ela esteja registrada, de forma articulada à proposta pedagógica e à concepção de uma aprendizagem contínua (lifelong learning) e autônoma (aprender a aprender). Duração do curso: 12 Meses. Modalidade 100% Remota. Reconhecido pelo MEC. Início das aulas 01/08/2024. Valor da mensalidade: R$ 180,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-letramento-informacional-educacao-para-informacao/
"
ESPECIALIZAÇÃO EM Linguística Aplicada: Ensino-Aprendizagem de Línguas Adicionais,"O curso destina-se a graduados em cursos reconhecidos pelo Conselho Nacional de Educação (CNE) em Letras e/ou Linguística, licenciados ou bacharéis, ou graduados em Libras; em língua portuguesa como língua de acolhimento e em qualquer área com conhecimento em línguas e que atuem na área de Línguas Adicionais a que se destina este curso. O curso de Especialização em Linguística Aplicada: ensino-aprendizagem de Línguas Adicionais tem como objetivo primordial proporcionar aperfeiçoamento, crescimento intelectual e ascensão profissional aos profissionais de ensino de Línguas Adicionais. Seu currículo foi totalmente pensado para os desafios diários em escolas públicas e privadas o que garante ao cursista conhecimento para ampliar e melhorar a sua atuação na sala de aula. Ainda, oferece ao profissional uma visão crítica sobre a sua profissão e capacita para a realização de pesquisas no ambiente de sala de aula que podem levar a melhoria da prática no âmbito profissional e alicerçar pesquisas futuras. Horários: sábados (8h às 12h e 14h às 18h). Duração do curso: 24 meses. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 15/03/2025. Taxa de matrícula de R$ 50,00; Valor da mensalidade: R$ 400,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/linguistica-aplicada-ensino-aprendizagem-de-linguas-adicionais/
"
MBA EM​ Marketing Estratégico,"O curso destina-se a profissionais (executivos ou empreendedores) que atuam diretamente ou indiretamente com a área de marketing. O curso de MBA em Marketing Estratégico tem como a proposta de fomentar os estudos de marketing no âmbito de ensino, pesquisa e extensão. Dessa forma, o curso irá oferecer a comunidade, por meio de professores do quadro efetivo da UFG e convidados, um ferramental para tomada de decisão com ênfase principal nas estratégias das empresas a partir de uma perspectiva mercadológica. Espera-se que, com a oferta do MBA em Marketing Estratégico, profissionais (executivos ou empreendedores) que atuam diretamente ou indiretamente com a área de marketing, possam ser habilitados a tomar decisões e contribuam para o melhor desempenho organizacional. Objetivos Específicos: a) Propiciar a capacitação na prática da gestão de marketing alinhado ao desempenhoorganizacional e estratégico; b) Desenvolver uma visão estratégica do marketing possibilitando aos participantes obter o ferramental necessário para tomada de decisão. Carga horária do curso: 365 horas. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 01/02/2025. Taxa de matrícula de R$ 549,99; Valor da mensalidade: R$ 549,99. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/marketing-estrategico/"
ESPECIALIZAÇÃO EM Moda e Inovação,"O curso destina-se a capacitar profissionais portadores de diploma de curso superior, em Design de Moda e afins. O curso de Especialização em Moda e Inovação busca estabelecer um pensamento e aplicação de práticas e dinâmicas multidisciplinares centradas na inovação de base criativa e cocriativa, oriunda de metodologias diversificadas, onde o aluno será convidado a elaborar sua própria prática, respondendo à aplicabilidade inovativa e sustentável em seu projeto final de curso. Uma dinâmica com foco em estudos de caso, de base integradora, tecnológica, sustentável, inventiva e experimental, mas eficaz tanto na sua aplicação quanto na sua manutenção. Assim, o curso capacita profissionais da área de moda e afins para o desenvolvimento, implementação ou melhorias de projetos, negócios e inovação na área de moda. Objetivos Específicos: a) Oferecer conhecimento científico e tecnológico para a geração de ideias e projetos na área de moda; b) Apresentar teorias da cultura de moda e inovação para a geração de novas ideias; c)Proporcionar um ambiente inovador para a materialização de ideias na área de moda; d) Orientar para a sustentabilidade aplicada na geração de ideias e projetos na área de moda; e) Ofertar um ambiente criativo através da cultura de moda, design e inovação; f) Contribuir na profissionalização da área de moda local e nacionalmente. Horários: quinzenalmente, as segundas-feiras (19h às 22h), quartas-feiras (19h às 22h) e sextas-feiras (19h às 22h). Local: Faculdade de Artes Visuais, Campus Samambaia. Carga horária: 360h. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 01/04/2025. Taxa de matrícula de R$ 500,00; Valor da mensalidade: R$ 500,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-moda-e-inovacao/"
ESPECIALIZAÇÃO EM​ Odontologia Hospitalar,"O curso destina-se a graduados em odontologia, que já tenham realizado uma pós-graduação em cirurgia odontológica. O curso de Especialização em Odontologia Hospitalar, promove a capacitação de cirurgiões-dentista em conhecimentos teóricos e práticos necessários para a realização do atendimento de pacientes críticos, com condições especiais de saúde, em ambiente ambulatorial, domiciliar e hospitalar. O curso é fundamentado nos princípios éticos e embasados em evidências científicas, onde será desenvolvido nas dependências da Faculdade de Odontologia da UFG; Enfermaria/UTI do Hospital das Clínicas da UFG, Hospital Araújo Jorge e hospitais particulares parceiros. Carga horária: 612 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 15/01/2025. Valor da mensalidade: R$ 1800,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-odontologia-hospitalar/"
"ESPECIALIZAÇÃO EM Perícia, Auditoria e Licenciamento Ambiental","O curso destina-se a profissionais portadores de diploma de curso superior, tais como Engenheiros Ambientais, Engenheiros Ambientais e Sanitaristas, Engenheiros Civis, Engenheiros Agrônomos, Biólogos, Geógrafos, Advogados, Administradores de Empresas, Químicos, Economistas e demais profissionais Graduados interessados na área Ambiental. O curso de Especialização em Perícia, Auditoria e Licenciamento Ambiental tem como objetivo qualificar profissionais dos setores público, privado e do terceiro setor quanto à promoção do aprendizado multidisciplinar necessário para o desempenho das atividades de Perícia, Auditoria e licenciamento ambiental, apresentando conceitos, instrumentos legais e técnicos para quem pretende participar das atividades relacionadas. Nesse sentido capacita profissionais para a análise e gestão de projetos de investimento, integrando conceitos de engenharia econômica, técnicas de análise de risco e gestão financeira. Com base prática e científica, prepara gestores para decisões criteriosas, focadas na aplicação produtiva do capital em um ambiente de incerteza e risco. Duração do curso: 24 meses. Modalidade 100% Remota. Reconhecido pelo MEC. Início das aulas 24/03/2025. Valor da mensalidade: R$ 400,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/curso-de-especializacao-em-pericia-auditoria-e-licenciamento-ambiental/"
MBA em Planejamento Tributário e Compliance Fiscal,"O curso destina-se a gestores, auditores, tributaristas e contadores que desejam atuar em planejamento e compliance tributário. O curso de MBA em Planejamento Tributário e Compliance Fiscal capacita os profissionais das áreas de negócios e tributaristas a atuarem na área de planejamento e compliance tributária, desenvolvendo suas habilidades para conformidade fiscal e aplicação da legislação tributária atual. Assim suprindo os conhecimentos necessários para os profissionais desempenharem o que lhes couber no âmbito da gestão e compliance nas áreas em que atuam. Objetivos Específicos: a) Identificar habilidades necessárias para atuar na área que envolve o planejamento tributário e compliance fiscal; b) Execução e avaliação estratégica da Conformidade Tributária; c) Desenvolver a habilidade de planejamento e conformidade diante do arcabouço tributário brasileiro e suas recentes alterações; d) Fornecer conhecimentos acerca da aplicação dos conceitos de compliance fiscal e legislação tributária vigente. Carga horária: 390 horas. Modalidade 100% Presencial. Reconhecido pelo MEC.Início das aulas 21/02/2025. Valor da mensalidade: R$ 599,99. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/mba-em-planejamento-tributario-e-compliance-fiscal/"
ESPECIALIZAÇÃO EM Políticas Públicas,"O curso destina-se a servidores públicos (efetivos ou comissionados), prestadores de serviço em órgãos públicos da esfera federal, estadual ou municipal; profissionais da iniciativa privada ou terceiro setor com atuação; demais profissionais com em pesquisa com temáticas pertinentes ao campo das políticas públicas. O curso de Especialização em Políticas Públicas tem como objetivos: – Qualificar, em resposta à regular demanda pelo curso, servidores, prestadores de serviço e interessados em ingressar em carreiras do setor público a nível federal, estadual e/ou municipal; – Fomentar atividades de debate e pesquisa sobre políticas públicas que tenham o estado de Goiás e/ou seus municípios como objeto de estudo, contribuindo para a produção de conhecimento e evidências sobre questões atinentes à formulação, implementação, monitoramento e avaliação de políticas relavantes para os governos (estadual e municipais) e tomadores de decisões; – Formar potenciais pesquisadores do campo de políticas públicas, promovendo o estabelecimento de vínculos e integração em redes de pesquisa com acadêmicos e demais profissionais da área pertencentes à Faculdade de Ciências Sociais (FCS), a outras unidades acadêmicas da UFG, a instituições de ensino do estado, e municípios, e de outras unidades da federação, além de órgãos governamentais dedicados à pesquisa; – Consolidar a Especialização em Políticas Públicas em um núcleo de estudos e provisão de conhecimento propício ao desenvolvimento de investigações e estudos técnicos em parcerias com órgãos públicos no estado de Goiás e/ou nos municípios da grande Goiânia. Horários: sextas-feiras (17h00 às 21h00) e sábados (08h00 às 12h00). Carga horária: 360h. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas previsto para 2026. Taxa de matrícula de R$ 300,00; Valor da mensalidade: R$ 300,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-politicas-publicas/"
ESPECIALIZAÇÃO EM Práticas Pedagógicas na Educação Básica,"O curso destina-se a graduados em curso de licenciatura. O curso de Especialização em Práticas Pedagógicas na Educação Básica tem por finalidade: a) Contribuir para a formação de professores e demais agentes que atuam na Educação Básica com foco no desenvolvimento e aprimoramento das práticas pedagógicas por eles desenvolvidas; b) Formar, em nível de pós-graduação Lato Sensu, profissionais da Educação Básica; c) Promover a formação continuada de profissionais da educação básica, com vistas a consolidar as práticas pedagógicas por eles desenvolvidas; d) Contribuir com o fortalecimento e expansão das políticas públicas de formação de professores; e) Refletir sobre o trabalho e práticas pedagógicas desenvolvidas pelos professores em seus ambientes de trabalho; f) Promover o debate crítico sobre formação de professores e suas práticas pedagógicas;
g) Produzir conhecimentos em relação ao tema das práticas pedagógicas na Educação Básica. O cumprimento das finalidades será obtido por meio de: a) Manutenção da qualidade do ensino ministrado, do estímulo à investigação científica; b) Flexibilização curricular que conduza ao aprimoramento mais amplo na área da Educação e do Ensino; c) Comprometimento com a realidade regional e nacional; d) Utilização da bibliografia referente à área da educação; e) Identificação e discussão dos problemas da área de estudo, bem como sua interação com áreas afins; f) Desenvolvimento da capacidade de análise e de crítica. Duração do curso: 24 meses. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 15/05/2024. Esse curso é gratuito. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-praticas-pedagogicas-na-educacao-basica/"
ESPECIALIZAÇÃO EM​ Psicologia dos Processos Educativos,"O curso destina-se todos os profissionais licenciados(as) em cursos reconhecidos pelo Ministério da Educação. O curso de Especialização em Psicologia dos Processos Educativos é um curso gratuito que tem os seguintes objetivos: a) Aprofundar os fundamentos científicos da psicologia para compreensão dos processos de socialização em contextos diversos visando apreender as mediações constitutivas do sujeito na contemporaneidade e subsidiar práticas profissionais que requerem intervenções educativas; b) Dar continuidade ao processo de formação acadêmica; aprofundar a compreensão dos processos e instâncias de socialização; c) Contribuir para a discussão acerca das condições de intervenção em contextos educativos; d) Contribuir para compreensão acerca das condições de constituição do sujeito contemporaneamente; e) Contribuir para elaboração de intervenções subjetivamente orientadas no campo social. Horários: segunda-feira (noturno), terça-feira (noturno) e quinta-feira (noturno). Local: Faculdade de Educação, da Universidade Federal Goiás. Carga horária do curso: 360 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 17/03/2025. Esse curso é gratuito. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-psicologia-dos-processos-educativos/"
RESIDÊNCIA EM​ Tecnologia da Informação,"O curso destina-se a profissionais e gestores(as) da tecnologia da informação e comunicação, com diploma de graduação e interessados(as) em adquirir conhecimentos para promover a inovação nos eixos de processos e gestão de TI, análise e construção de software, e análise e ciência de dados. O programa de Residência em Tecnologia da Informação tem como objetivo promover a inovação nos eixos de processos e gestão de TI, análise e construção de software, e análise e ciência de dados. A partir disso, garantindo uma equipe preparada para enfrentar os desafios tecnológicos relacionados ao contexto do Poder Judiciário na atualidade, a partir de uma base sólida em três áreas-chave: Processos & Gestão de TI, Análise & Construção de Software e Análise & Ciência de Dados. Duração do curso: 12 meses. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 15/01/2025. Esse curso é gratuito. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/residencia-em-tecnologia-da-informacao-inf-tjgo/"
ESPECIALIZAÇÃO EM Vigilância Epidemiológica,"O curso destina-se a médicos, enfermeiros, biomédicos, biólogos, farmacêuticos e outros profissionais da saúde que desejam se aprofundar na prevenção e controle de doenças e na promoção da saúde pública. O curso de Especialização em Vigilância Epidemiológica oferece formação avançada para profissionais de saúde no controle e prevenção de doenças, com base em diretrizes internacionais. Inclui atividades práticas e conexão com especialistas da área. Além de uma sólida base teórica, o curso oferece atividades práticas que simulam situações reais de vigilância em saúde. Duração do curso: 18 Meses. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas Março/2025. Valor da mensalidade: R$ 450,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-vigilancia-epidemiologica/"
"ESPECIALIZAÇÃO EM Vitivinicultura, Serviços e Produtos","O curso destina-se a portadores de diploma de graduação de quaisquer áreas do conhecimento, entretanto, oferece-se prioridade à graduados em cursos de Enologia, Agronomia, Farmácia, Química, Engenharia de Alimentos, Engenharia Química, Gastronomia e áreas afins. O curso de Especialização em Vitivinicultura, Serviços e Produtos, compromete-se a promover a capacitação e o aperfeiçoamento de profissionais para atuarem em diferentes áreas deste setor de tradição milenar. Ressalta-se aqui, a notável multidisciplinaridade do setor vitivinícola, hoje em franco desenvolvimento internacional, nacional e sobretudo regional. A região Centro-Oeste já consolidada na produção de uvas de mesa, tem se notabilizado pela qualidade de uvas viníferas e vinhos resultantes, contando já com dezenas de vinícolas e projetos, bem como diversos vinhos premiados. Horários: sextas-feiras (18h às 22h) e sábados (8h às 12h e 14h às 18h). Duração do curso: 18 Meses. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 07/03/2025. Taxa de matrícula de R$ 238,00; Valor da mensalidade: R$ 484,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/vitivinicultura-produtos-e-servicos-vitivini/"
Quais são os professores da Escola de Pós?,Ana Carolina Figueiredo Modesto; José Humberto Rodrigues dos Anjos; Breno Delfino Amaral Freitas; Virgínia Farias Alves; Karla Emmanuela Ribeiro Hora; Ane Trento; Wagner Bandeira; Thaíla Corrêa Castral; Raquel Santiago; Vanessa Gisele Pasqualotto Severino; Ilirio José Rech; Ricardo Limongi; Regis Puppim; Márcio de Carvalho Pires; Luiz Carlos da Cunha; Elton Clementino da Silva; Alverne Passos Barbosa; Marina Carmello Cunha; Aysha Jussara Ivonilde Carrim; Danielle Guimarães A. Diniz; Derblai Casaroli; Roberto José de Freitas; Diogo Pedrosa Correa da Silva; Larissa Matuda Macedo; Eric de Souza Gil; Carolina Chaves Soares; Jacson Rodrigues Barbosa; Mércia Pandolfo Provin; Rodrigo Mello Gomes; Camila Alves de Melo; Diego Basile Colugnati; Daniel Alves Rosa; Claudio Andre Barbosa de Lira; Carlos Henrique Xavier; Carlos Henrique de Castro; Manoel Francisco Biancardi; Gustavo Rodrigues Pedrino; Aline Priscila Pansani; Nádia do Lago Costa; Francine do Couto Lima Moreira.
Quais são os cursos disponíveis na Escola de Pós?,"ESPECIALIZAÇÃO EM Construção Civil; PÓS-GRADUAÇÃO EM​ Controladoria e Finanças; PÓS-GRADUAÇÃO EM​ Direito Constitucional e Teoria da Constituição; ESPECIALIZAÇÃO EM​ Direito e Processo do Trabalho para Advogados; ESPECIALIZAÇÃO EM Direito e Processo Eleitoral; ESPECIALIZAÇÃO EM Enfermagem Dermatológica com Ênfase na Assistência à Pessoas com Feridas; ESPECIALIZAÇÃO EM​ Enfermagem em Unidade de Terapia Intensiva em Neonatologia; PÓS-GRADUAÇÃO EM​ Enfrentamento à Violência Contra Mulheres e Meninas; ESPECIALIZAÇÃO EM Ensino de Línguas Adicionais, de Acolhimento e de Herança; ESPECIALIZAÇÃO EM​ Estudos Literários e Ensino de Literatura; PÓS-GRADUAÇÃO EM​ Farmácia Oncológica; ESPECIALIZAÇÃO EM​ Finanças e Gestão Estratégica de Negócios; ESPECIALIZAÇÃO EM​ Fisiologia Humana Aplicada às Ciências da Saúde; ESPECIALIZAÇÃO EM Gestão e Qualidade Ambiental; ESPECIALIZAÇÃO EM​ Gestão Pública; ESPECIALIZAÇÃO EM Letramento Informacional: Educação para Informação; ESPECIALIZAÇÃO EM Linguística Aplicada: Ensino-Aprendizagem de Línguas Adicionais; MBA EM​ Marketing Estratégico; ESPECIALIZAÇÃO EM Moda e Inovação; ESPECIALIZAÇÃO EM​ Odontologia Hospitalar; ESPECIALIZAÇÃO EM Perícia, Auditoria e Licenciamento Ambiental; MBA em Planejamento Tributário e Compliance Fiscal; ESPECIALIZAÇÃO EM Políticas Públicas; ESPECIALIZAÇÃO EM Práticas Pedagógicas na Educação Básica; ESPECIALIZAÇÃO EM​ Psicologia dos Processos Educativos; RESIDÊNCIA EM​ Tecnologia da Informação; ESPECIALIZAÇÃO EM Vigilância Epidemiológica; ESPECIALIZAÇÃO EM Vitivinicultura, Serviços e Produtos."
O que é a Escola de Pós da UFG?,"A Escola de Pós da Universidade Federal de Goiás (UFG) é uma iniciativa que visa fortalecer e unificar a oferta de cursos de pós-graduação lato sensu, como especializações, MBAs e residências médicas e multiprofissionais. Seu objetivo é produzir e socializar conhecimentos, formando profissionais capazes de promover a transformação e o desenvolvimento da sociedade. Possui 120 cursos, entre especializações, MBAs e capacitações. Possui, também, 400.000 discentes formados ao longo da história e 64 anos de história mudando a vida de milhares de pessoas."
